houseid,mileage,census_d,census_r,drvrcnt,hhloc,hhsize,hh_0to4,hh_race,msasize,numadult,popdnsty,ref_age,ref_educ,ref_sex,wrkrcnt,hh_5to21,income,ntrip,pur_recr,pur_shop,pur_work,auttrcnt,pur_hbot,pur_nhb,no_trans,urban
10983,2,9,4,1,2,1,0,1,5,1,10,64,3,0,0,0,39593,4,2,2,0,1,0,0,0,1
10989,120,4,2,4,3,4,0,1,94,2,1,51,1,0,2,2,47500,16,2,1,4,4,1,8,1,0
10991,0,4,2,1,3,2,0,1,94,2,2,77,1,0,0,0,32500,0,0,0,0,1,0,0,1,0
10993,10,4,2,1,2,1,0,1,1,1,2,73,1,0,0,0,12500,3,0,0,0,2,2,1,0,0
11000,38,4,2,1,3,1,0,1,94,1,1,68,2,0,0,0,12500,4,0,1,0,1,1,2,1,0
11001,38,4,2,1,3,1,0,1,94,1,1,68,2,0,0,0,12500,4,0,1,0,1,1,2,1,0
11012,37,4,2,2,2,2,0,1,1,2,1,69,1,0,1,0,32665,12,0,2,0,2,8,2,1,0
11023,70,4,2,2,1,2,0,1,1,2,3,24,1,1,2,0,17500,8,2,0,4,2,0,2,0,1
11024,30,4,2,1,2,2,0,1,1,2,1,40,1,1,1,0,47500,4,2,0,2,3,0,0,1,0
11061,10,4,2,1,1,1,0,1,1,1,6,22,1,1,1,0,22500,2,0,0,2,1,0,0,0,1
11069,36,3,2,1,1,1,0,1,3,1,12,23,2,1,1,0,17500,6,0,0,2,2,4,0,0,1
11070,2,3,2,1,1,7,2,1,3,4,10,60,1,0,0,1,35571,11,0,0,0,1,9,2,0,1
11108,317,3,2,2,2,4,0,1,1,2,3,30,2,0,2,2,57500,28,4,1,5,2,6,12,0,0
11113,13,3,2,1,1,2,0,1,3,1,7,40,1,0,1,1,22500,8,4,0,2,1,2,0,0,1
11121,42,3,2,2,3,2,0,1,94,2,2,58,1,1,1,0,100000,4,0,0,2,2,2,0,1,0
11127,56,3,2,2,3,3,0,1,94,1,2,35,2,0,2,2,7500,10,0,0,3,1,5,2,0,0
11142,46,3,2,2,1,4,0,1,3,2,8,38,1,0,0,2,7500,28,1,2,0,2,9,16,0,1
11163,16,3,2,1,3,4,0,1,94,2,2,35,1,1,0,2,35571,4,0,0,0,3,4,0,0,0
11180,78,7,3,2,3,2,0,1,94,2,1,69,3,1,0,0,32500,14,3,2,0,2,2,7,1,0
11196,14,7,3,2,3,2,0,1,94,2,1,54,2,1,1,0,32100,6,4,0,2,2,0,0,1,0
